Name;Date;Venue;Link
Bruno Mars: 24K Magic World Tour;09/26/2017  20:00:00;Prudential Center;#http://ticketmaster.com/event/0200516EC57D7C93#outlauto#;
Bruno Mars;09/27/2017  20:00:00;KeyBank Center;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020603#outlauto#;
Bruno Mars: 24K Magic World Tour;09/29/2017  20:00:00;Verizon Center;#http://ticketmaster.com/event/15005169F7BC4733#outlauto#;
Bruno Mars: 24K Magic World Tour;09/30/2017  20:00:00;Verizon Center;#http://ticketmaster.com/event/15005172838716D0#outlauto#;
Bruno Mars: 24K Magic World Tour;10/04/2017  20:00:00;Barclays Center;#http://ticketmaster.com/event/00005167E777464A#outlauto#;
Bruno Mars: 24K Magic World Tour;10/05/2017  20:00:00;The New Coliseum;#http://ticketmaster.com/event/00005168E524403D#outlauto#;
Bruno Mars: 24K Magic World Tour;10/07/2017  20:00:00;TD Garden;#http://ticketmaster.com/event/0100516AC61839A7#outlauto#;
Bruno Mars: 24K Magic World Tour;10/08/2017  20:00:00;TD Garden;#http://ticketmaster.com/event/01005171C42A3C32#outlauto#;
Bruno Mars;10/10/2017  20:00:00;Wells Fargo Center-PA;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2019203#outlauto#;
Bruno Mars: 24K Magic World Tour;10/12/2017  20:00:00;PNC Arena;#http://ticketmaster.com/event/0E00516BD48E844B#outlauto#;
Bruno Mars: 24K Magic World Tour;10/14/2017  20:00:00;Amway Center;#http://ticketmaster.com/event/2200516AA62F859A#outlauto#;
Bruno Mars: 24K Magic World Tour;10/15/2017  20:00:00;BB&T Center;#http://ticketmaster.com/event/0D005169D7D6A46D#outlauto#;
Bruno Mars: 24K Magic World Tour;10/18/2017  20:00:00;AmericanAirlines Arena;#http://ticketmaster.com/event/0D00516A1CFFCDB4#outlauto#;
Bruno Mars: 24K Magic World Tour;10/19/2017  20:00:00;Amalie Arena;#http://ticketmaster.com/event/0D00516AADE198B6#outlauto#;
Bruno Mars: 24K Magic World Tour;10/21/2017  20:00:00;Smoothie King Center;#http://ticketmaster.com/event/1B00516AE4935F3F#outlauto#;
Bruno Mars: 24K Magic World Tour;10/22/2017  20:00:00;Verizon Arena;#http://ticketmaster.com/event/1B00516EA7C752B5#outlauto#;
Bruno Mars;10/24/2017  20:00:00;Toyota Center - TX;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020518#outlauto#;
Bruno Mars: 24K Magic World Tour;10/25/2017  20:00:00;AT&T Center;#http://ticketmaster.com/event/3A00516E9AF121C1#outlauto#;
Bruno Mars: 24K Magic World Tour;10/27/2017  20:00:00;American Airlines Center;#http://ticketmaster.com/event/0C00516ACE9B2D92#outlauto#;
Bruno Mars;10/30/2017  20:00:00;Pepsi Center;#http://www.ticketsnow.com/InventoryBrowse/TicketList.aspx?PID=2020505#outlauto#;
Bruno Mars: 24K Magic World Tour;11/02/2017  20:00:00;Save Mart Center;#http://ticketmaster.com/event/1C005169BC84467A#outlauto#;
Bruno Mars: 24K Magic World Tour;11/03/2017  20:00:00;Oracle Arena;#http://ticketmaster.com/event/1C00516BE2735B69#outlauto#;
Bruno Mars: 24K Magic World Tour;11/05/2017  20:00:00;Talking Stick Resort Arena;#http://ticketmaster.com/event/19005169D0C32008#outlauto#;
Bruno Mars: 24K Magic World Tour;11/07/2017  20:00:00;The Forum;#http://ticketmaster.com/event/0900516B1C334B1C#outlauto#;
Bruno Mars: 24K Magic World Tour;11/08/2017  20:00:00;The Forum;#http://ticketmaster.com/event/0900516E18AA5D37#outlauto#;
Bruno Mars: 24K Magic World Tour;11/10/2017  20:00:00;The Forum;#http://ticketmaster.com/event/0900516E18BA5D43#outlauto#;
Bruno Mars: 24K Magic World Tour;11/11/2017  20:00:00;The Forum;#http://ticketmaster.com/event/0900516E18C35D45#outlauto#;
